date,time,frequency,stock,ma,price,description
20190104,11:30:00,5,600017,2.7577200000000017,2.78,cross above
20190104,11:30:00,5,600273,8.68788,8.69,cross above
20190104,11:30:00,5,600276,52.311960000000006,53.1,cross above
20190104,11:30:00,5,600022,1.5819999999999956,1.59,cross above
20190104,11:30:00,5,600278,8.192479999999982,8.27,cross above
20190104,11:30:00,5,600023,4.649560000000002,4.65,cross above
20190104,11:30:00,5,600026,4.454400000000005,4.49,cross above
20190104,11:30:00,5,600410,5.962519999999996,5.99,cross above
20190104,11:30:00,5,600281,3.5809999999999986,3.59,cross above
20190104,11:30:00,5,600157,1.3253599999999979,1.33,cross above
20190104,11:30:00,5,600285,7.4429199999999955,7.47,cross above
20190104,11:30:00,5,600422,6.142880000000008,6.17,cross above
20190104,11:30:00,5,600290,4.8846000000000025,4.98,cross above
20190104,11:30:00,5,600425,2.958919999999995,2.97,cross above
20190104,11:30:00,5,600569,3.058359999999997,3.09,cross above
20190104,11:30:00,5,600570,52.39060000000001,53.33,cross above
20190104,11:30:00,5,600295,7.524039999999986,7.59,cross above
20190104,11:30:00,5,600575,2.1529199999999986,2.19,cross above
20190104,11:30:00,5,600298,24.788519999999984,24.88,cross above
20190104,11:30:00,5,600175,2.170200000000001,2.21,cross above
20190104,11:30:00,5,600449,7.413880000000026,7.48,cross above
20190104,11:30:00,5,600058,6.622880000000007,6.68,cross above
20190104,11:30:00,5,600059,6.573039999999976,6.68,cross above
20190104,11:30:00,5,600583,4.8978800000000025,4.92,cross above
20190104,11:30:00,5,600587,12.737600000000004,12.8,cross above
20190104,11:30:00,5,600460,8.26692000000001,8.31,cross above
20190104,11:30:00,5,600461,5.464400000000016,5.49,cross above
20190104,11:30:00,5,600189,3.734959999999996,3.74,cross above
20190104,11:30:00,5,600069,2.9350799999999984,2.96,cross above
20190104,11:30:00,5,600318,7.246279999999998,7.51,cross above
20190104,11:30:00,5,600070,6.490799999999991,6.57,cross above
20190104,11:30:00,5,600594,5.554039999999992,5.6,cross above
20190104,11:30:00,5,600467,2.4294399999999983,2.48,cross above
20190104,11:30:00,5,600595,1.9479200000000019,1.97,cross above
20190104,11:30:00,5,600468,5.374040000000001,5.39,cross above
20190104,11:30:00,5,600596,10.820440000000008,10.88,cross above
20190104,11:30:00,5,600470,3.774919999999999,3.79,cross above
20190104,11:30:00,5,600075,4.504600000000009,4.53,cross above
20190104,11:30:00,5,600599,10.45323999999999,10.83,cross above
20190104,11:30:00,5,600199,4.623079999999999,4.65,cross above
20190104,11:30:00,5,600603,4.142439999999998,4.16,cross above
20190104,11:30:00,5,600606,6.107239999999999,6.11,cross above
20190104,11:30:00,5,600084,2.995640000000002,3.0,cross above
20190104,11:30:00,5,600207,4.410439999999993,4.43,cross above
20190104,11:30:00,5,600208,2.876520000000001,2.9,cross above
20190104,11:30:00,5,600091,3.7935999999999956,3.85,cross above
20190104,11:30:00,5,600093,7.669559999999993,7.7,cross above
20190104,11:30:00,5,600335,6.3770399999999885,6.52,cross above
20190104,11:30:00,5,600211,28.980199999999993,29.0,cross above
20190104,11:30:00,5,600613,4.936480000000001,4.94,cross above
20190104,11:30:00,5,600213,6.0679599999999825,6.13,cross above
20190104,11:30:00,5,600615,10.26068000000001,10.28,cross above
20190104,11:30:00,5,600217,4.122960000000003,4.15,cross above
20190104,11:30:00,5,600100,9.87907999999998,9.88,cross above
20190104,11:30:00,5,600618,6.538799999999989,6.56,cross above
20190104,11:30:00,5,600222,3.42784,3.45,cross above
