date,time,frequency,stock,ma,price,description
20190104,15:00:00,1,600009,49.71241666666666,49.82,cross above
20190104,15:00:00,1,600012,5.498750000000003,5.5,cross above
20190104,15:00:00,1,600071,7.7439166666666575,7.82,cross above
20190104,15:00:00,1,600098,5.597250000000005,5.63,cross above
20190104,15:00:00,1,600585,28.30166666666662,28.4,cross above
20190104,15:00:00,1,600462,3.250750000000003,3.26,cross above
20190104,15:00:00,1,600133,6.065166666666662,6.08,cross above
20190104,15:00:00,1,600265,26.976583333333316,26.98,cross above
20190104,15:00:00,1,600817,7.108750000000004,7.14,cross above
20190104,15:00:00,1,600373,12.802999999999992,12.83,cross above
20190104,15:00:00,1,601021,31.38491666666668,31.54,cross above
20190104,15:00:00,1,600748,5.313583333333327,5.35,cross above
20190104,15:00:00,1,601098,12.809999999999992,12.82,cross above
20190104,15:00:00,1,600749,9.356333333333321,9.37,cross above
20190104,15:00:00,1,600674,8.35800000000001,8.37,cross above
20190104,15:00:00,1,603096,64.73016666666663,64.77,cross above
20190104,15:00:00,1,600778,4.544749999999994,4.55,cross above
20190104,15:00:00,1,601872,3.715833333333336,3.73,cross above
20190104,15:00:00,1,603819,15.990000000000013,16.04,cross above
20190104,15:00:00,1,603158,15.79083333333334,15.83,cross above
20190104,15:00:00,1,601330,12.185250000000003,12.28,cross above
20190104,15:00:00,1,603609,7.917666666666668,7.95,cross above
20190104,15:00:00,1,603365,14.291416666666658,14.32,cross above
20190104,15:00:00,1,603868,35.975416666666675,36.24,cross above
20190104,15:00:00,1,603877,18.248166666666673,18.3,cross above
20190104,15:00:00,1,603238,18.654499999999995,18.73,cross above
20190104,15:00:00,1,603005,16.485833333333336,16.6,cross above
20190104,15:00:00,1,603657,28.42024999999999,28.48,cross above
20190104,15:00:00,1,603963,11.859666666666657,11.9,cross above
20190104,15:00:00,1,603703,8.993249999999998,9.0,cross above
20190104,15:00:00,1,603717,9.159916666666657,9.18,cross above
20190104,15:00:00,1,600009,49.71241666666666,49.82,cross above
20190104,15:00:00,1,600012,5.498750000000003,5.5,cross above
20190104,15:00:00,1,600585,28.30166666666662,28.4,cross above
20190104,15:00:00,1,600071,7.7439166666666575,7.82,cross above
20190104,15:00:00,1,600462,3.250750000000003,3.26,cross above
20190104,15:00:00,1,600098,5.597250000000005,5.63,cross above
20190104,15:00:00,1,600373,12.802999999999992,12.83,cross above
20190104,15:00:00,1,600133,6.065166666666662,6.08,cross above
20190104,15:00:00,1,600817,7.108750000000004,7.14,cross above
20190104,15:00:00,1,600265,26.976583333333316,26.98,cross above
20190104,15:00:00,1,601021,31.38491666666668,31.54,cross above
20190104,15:00:00,1,600674,8.35800000000001,8.37,cross above
20190104,15:00:00,1,601098,12.809999999999992,12.82,cross above
20190104,15:00:00,1,603819,15.990000000000013,16.04,cross above
20190104,15:00:00,1,601872,3.715833333333336,3.73,cross above
20190104,15:00:00,1,603609,7.917666666666668,7.95,cross above
20190104,15:00:00,1,603096,64.73016666666663,64.77,cross above
20190104,15:00:00,1,600748,5.313583333333327,5.35,cross above
20190104,15:00:00,1,600749,9.356333333333321,9.37,cross above
20190104,15:00:00,1,603868,35.975416666666675,36.24,cross above
20190104,15:00:00,1,603657,28.42024999999999,28.48,cross above
20190104,15:00:00,1,603877,18.248166666666673,18.3,cross above
20190104,15:00:00,1,601330,12.185250000000003,12.28,cross above
20190104,15:00:00,1,603158,15.79083333333334,15.83,cross above
20190104,15:00:00,1,603005,16.485833333333336,16.6,cross above
20190104,15:00:00,1,603365,14.291416666666658,14.32,cross above
20190104,15:00:00,1,600778,4.544749999999994,4.55,cross above
20190104,15:00:00,1,603703,8.993249999999998,9.0,cross above
20190104,15:00:00,1,603963,11.859666666666657,11.9,cross above
20190104,15:00:00,1,603717,9.159916666666657,9.18,cross above
20190104,15:00:00,1,603238,18.654499999999995,18.73,cross above
